colonia,municipio
Piedra Agujereada,Armadillo de los Infante
Puerto de Chagoya,Armadillo de los Infante
Rancho el Chital (La Carbonera),Armadillo de los Infante
San Cayetano,Armadillo de los Infante
San José de Barbosa,Armadillo de los Infante
Tanque de las Manzanas,Armadillo de los Infante
Torres Corzo,Armadillo de los Infante
Temazcal,Armadillo de los Infante
Cerro Grande,Armadillo de los Infante
Rancho Nuevo de la Cruz,Armadillo de los Infante
La Concordia,Armadillo de los Infante
Pozo del Carmen [COPLAMAR],Armadillo de los Infante
Santa Lucía,Armadillo de los Infante
Paradita del Refugio,Armadillo de los Infante
El Durazno,Armadillo de los Infante
Paso del Águila,Armadillo de los Infante
Pozo del Carmen,Armadillo de los Infante
Arroyo Hondo,Armadillo de los Infante
El Caracol,Armadillo de los Infante
El Salitre,Armadillo de los Infante
Paso del Águila [COPLAMAR],Armadillo de los Infante
Puerta del Refugio,Armadillo de los Infante
Hacienda Parada de Luna,Armadillo de los Infante
Los Tanquitos,Armadillo de los Infante
Nogalitos de la Cruz,Armadillo de los Infante
Parada de San Rafael,Armadillo de los Infante
Barranca de San Isidro,Armadillo de los Infante
Cieneguilla,Armadillo de los Infante
El Capulín,Armadillo de los Infante
El Desestrés,Armadillo de los Infante
La Ciénaga,Armadillo de los Infante
La Huerta de Manzano,Armadillo de los Infante
Laguna de San Isidro,Armadillo de los Infante
Llano de los Saldaña,Armadillo de los Infante
Rancho Nuevo de los Nájera,Armadillo de los Infante
San José de Álvarez,Armadillo de los Infante
San Miguel,Armadillo de los Infante
San Rafael,Armadillo de los Infante
Ciudad Valles Centro,Ciudad Valles
El Consuelo,Ciudad Valles
América,Ciudad Valles
Ferrocarrilera,Ciudad Valles
Francisco Villa,Ciudad Valles
Doctor Márquez,Ciudad Valles
Morelos y Pavón,Ciudad Valles
Santa María,Ciudad Valles
Vista Hermosa,Ciudad Valles
Ingeniero García Téllez,Ciudad Valles
Santa Lucía,Ciudad Valles
Mujeres en Solidaridad,Ciudad Valles
Tecnológico,Ciudad Valles
12 de Julio,Ciudad Valles
INFONAVIT II,Ciudad Valles
Lázaro Cárdenas,Ciudad Valles
18 de Marzo,Ciudad Valles
Doracely,Ciudad Valles
Emiliano Zapata,Ciudad Valles
Guadalupe,Ciudad Valles
Loma Bonita,Ciudad Valles
Morelos,Ciudad Valles
20 de Noviembre,Ciudad Valles
Valle Alto,Ciudad Valles
Plan de Ayala,Ciudad Valles
Monte Alegre,Ciudad Valles
Magisterial,Ciudad Valles
Campo Colonial,Ciudad Valles
Granjas Buenos Aires,Ciudad Valles
Marques,Ciudad Valles
Del Sol,Ciudad Valles
La Estrella,Ciudad Valles
Las Palmas,Ciudad Valles
Villas de San Pedro,Ciudad Valles
18 de Marzo,Ciudad Valles
Buenos Aires,Ciudad Valles
Mary Tere,Ciudad Valles
Las Granjas,Ciudad Valles
Alfonso Esper,Ciudad Valles
El Pacifico,Ciudad Valles
2 de Enero,Ciudad Valles
Tanculpaya,Ciudad Valles
Villabrisa,Ciudad Valles
Bugambilias,Ciudad Valles
El 21,Ciudad Valles
Las Fincas,Ciudad Valles
Lomas del Real,Ciudad Valles
Popular Solidaridad,Ciudad Valles
Victoria,Ciudad Valles
S.C.T.,Ciudad Valles
Praderas del Río,Ciudad Valles
Diana,Ciudad Valles
Santa Rosa,Ciudad Valles
Funcionarios de Fibracel,Ciudad Valles
Del Campo,Ciudad Valles
La Curva,Ciudad Valles
Loma de los Silleros,Ciudad Valles
Estación,Ciudad Valles
Florida,Ciudad Valles
Palo de Rosa,Ciudad Valles
La Diana,Ciudad Valles
Plan de Ayala,Ciudad Valles
Villa del Sol,Ciudad Valles
Ingenio Plan de Ayala,Ciudad Valles
INFONAVIT I,Ciudad Valles
Cuauhtémoc,Ciudad Valles
Francisco I Madero,Ciudad Valles
Moctezuma,Ciudad Valles
Avance,Ciudad Valles
FOVISSSTE,Ciudad Valles
Tetuán,Ciudad Valles
Las Lomas,Ciudad Valles
Los Filtros,Ciudad Valles
Alta Vista,Ciudad Valles
Jardines del Valle,Ciudad Valles
Lomas del Mirador,Ciudad Valles
Nelly Zulaiman,Ciudad Valles
Real de Villas II,Ciudad Valles
Antonio Esper,Ciudad Valles
Bonifacio Salinas,Ciudad Valles
Lomas del Mirador,Ciudad Valles
Real de Villas,Ciudad Valles
Altavista,Ciudad Valles
Méndez,Ciudad Valles
Mirador,Ciudad Valles
Obrera,Ciudad Valles
Porvenir,Ciudad Valles
Tipzén,Ciudad Valles
Anfer,Ciudad Valles
Valle de Oriente,Ciudad Valles
Villa Real de Santiago,Ciudad Valles
Norte Residencial,Ciudad Valles
Lomas del Porvenir,Ciudad Valles
19 de Enero (Las Brisas),Ciudad Valles
Residencial del Lago,Ciudad Valles
Rafael Curiel,Ciudad Valles
Las Águilas,Ciudad Valles
Las Águilas,Ciudad Valles
San Rafael,Ciudad Valles
Tantocob,Ciudad Valles
La Alhajita,Ciudad Valles
Tampico,Ciudad Valles
San Ángel I,Ciudad Valles
La Pimienta,Ciudad Valles
Rosas del Tepeyac,Ciudad Valles
Del Carmen,Ciudad Valles
Palma Sola,Ciudad Valles
Juárez,Ciudad Valles
Vergel,Ciudad Valles
Cerillera,Ciudad Valles
Hidalgo,Ciudad Valles
Rotarios,Ciudad Valles
María Nilda,Ciudad Valles
Leonardo Rodríguez Alcaine,Ciudad Valles
San Luis Poniente,Ciudad Valles
Lomas Poniente,Ciudad Valles
Lomas de Yuejat,Ciudad Valles
América,Ciudad Valles
Villa del Vergel,Ciudad Valles
Bellavista,Ciudad Valles
Lomas Oriente,Ciudad Valles
Misión de San Miguel,Ciudad Valles
Olegario Vizcarra,Ciudad Valles
Rodríguez,Ciudad Valles
Militar,Ciudad Valles
Real Campestre,Ciudad Valles
Jardines del Campestre,Ciudad Valles
Bicentenario,Ciudad Valles
Los Naranjos,Ciudad Valles
Oxitipa,Ciudad Valles
Residencial Santa Claudia,Ciudad Valles
Lomas de San José,Ciudad Valles
San Ángel II,Ciudad Valles
El Gavilán,Ciudad Valles
Las Huastecas,Ciudad Valles
Lomas de Santiago,Ciudad Valles
José María Morelos y Pavón,Ciudad Valles
Gregorio Osuna,Ciudad Valles
Municipal Valles 85,Ciudad Valles
San Luis,Ciudad Valles
Central Comercial,Ciudad Valles
Montebello,Ciudad Valles
CECYT,Ciudad Valles
Margarita de Gortari,Ciudad Valles
San José,Ciudad Valles
Ebano Centro,Ebano
Zostepec,Ebano
Estación,Ebano
Antonio J. Bermúdez,Ebano
Las Américas,Ebano
Ejido 20 de Noviembre,Ebano
Santa Cruz,Ebano
Los Pinos,Ebano
Del Valle,Ebano
El Hule,Ebano
Obrera,Ebano
Dr. Quintana,Ebano
Vicente Inguanzo,Ebano
Primavera,Ebano
Petrolera Lázaro Cárdenas,Ebano
Solidaridad,Ebano
Himno Nacional,Ebano
Valle Dorado,Ebano
Puerta del Sol,Ebano
Bellavista,Ebano
Aviación,Ebano
Unidad Nacional,Ebano
18 de Marzo,Ebano
20 de Noviembre,Ebano
Zona Industrial,Ebano
Tulipanes,Ebano
Vergel,Ebano
Manuel Ávila Camacho,Ebano
INFONAVIT,Ebano
Campamento SARH,Ebano
Zona Cuartel,Ebano
El Veintiuno,Ebano
Tamuín Centro,Tamuín
Victor Manuel Santos,Tamuín
Morelos,Tamuín
El Campo,Tamuín
Salvador Nava Martínez,Tamuín
Las Brisas,Tamuín
El Mirasol,Tamuín
Quinta Dulce,Tamuín
Los Pericos,Tamuín
Magisterial,Tamuín
Las Norias,Tamuín
Hidalgo,Tamuín
Lindavista,Tamuín
Juárez,Tamuín
Ricardo Flores Magón,Tamuín
Media Luna,Tamuín
Tanmoachan,Tamuín
Pueblo Nuevo,Tamuín
Nuevo Tamuin,Tamuín
Colosio,Tamuín
Vista Alegre,Tamuín
Valle Alto,Tamuín
Las Gaviotas,Tamuín
Del Bosque,Tamuín
Estación Tamuín,Tamuín
El Peñasco,Tamuín
Santa Martha,Tamuín
Nuevo Aquismón,Tamuín
Emiliano Zapata,Tamuín
La Ceiba,Tamuín
Luis Donaldo Colosio,Tamuín
Ejido Velazco,Tamuín
Aeropuerto,Tamuín
Las Palmas,Tamuín
El Palmar,Tamuín
El Porvenir,Tamuín
Nuevo Tampaón,Tamuín
San José de Limón,Tamuín
El Centinela,Tamuín
Ejido los Huastecos,Tamuín
Manuel Ávila Camacho,Tamuín
Nuevo Ahuacatitla,Tamuín
Nueva Primavera,Tamuín
Antiguo Tamuín,Tamuín
La Fortaleza,Tamuín
El Carrizo,Tamuín
Tampacoy,Tamuín
Campo Negro (Rogelio Contreras Espinoza),Ciudad Valles
Ejido las Canoas (Canoas),Ciudad Valles
San Lorenzo,Ciudad Valles
Ejido la Hincada,Ciudad Valles
El Entripado,Ciudad Valles
El Veladero,Ciudad Valles
Nuevo Crucitas,Ciudad Valles
Estación Micos,Ciudad Valles
Los Pinos,Ciudad Valles
La Puerta del Espíritu Santo,Ciudad Valles
El Platanito Número Tres,Ciudad Valles
La Virgen,Ciudad Valles
Nuevo Tepeguajes,Ciudad Valles
Rioverdito,Ciudad Valles
San Pedro (La Antigua Hincada),Ciudad Valles
Ampliación la Hincada,Ciudad Valles
Ojo de Agua,Ciudad Valles
Las Huertas,Ciudad Valles
Crucero las Pitas,Ciudad Valles
El Choy,Ciudad Valles
El Limoncito,Ciudad Valles
Sabino del Obispo (Anexo a las Pitas),Ciudad Valles
La Esperanza,Ciudad Valles
Las Pitas,Ciudad Valles
Estación Rascón,Ciudad Valles
Casa Blanca,Ciudad Valles
María Castillo Salazar,Ciudad Valles
San Francisco,Ciudad Valles
Andrea San Juan,Ciudad Valles
San Dieguito,Ciudad Valles
Las Crucitas,Ciudad Valles
Estación Quinientos,Ciudad Valles
Chantol,Ciudad Valles
El Choyoso,Ciudad Valles
El Platanito,Ciudad Valles
La Gloria,Ciudad Valles
La Soledad,Ciudad Valles
Las Flores,Ciudad Valles
Los Jobos,Ciudad Valles
Nombre de Dios,Ciudad Valles
San Isidro,Ciudad Valles
San Pedro,Ciudad Valles
Cerro Alto,Ciudad Valles
Camillas,Ciudad Valles
Campo Atonatilco,Ciudad Valles
Ejido la Loma,Ciudad Valles
Ejido la Loma (Canoítas),Ciudad Valles
Entrada a Camillas,Ciudad Valles
La Loma (Quinientos Uno),Ciudad Valles
La Pasadita (La Colmena),Ciudad Valles
Rancho Nuevo,Ciudad Valles
San Francisco,Ciudad Valles
Coyoles,Ciudad Valles
Los Platanitos,Ciudad Valles
Dos Pericos (San Isidro),Ciudad Valles
El Poste (El Verde),Ciudad Valles
El Sabinito,Ciudad Valles
El Verde,Ciudad Valles
Palmillas,Ciudad Valles
Rancho el Siete,Ciudad Valles
Rancho San Antonio,Ciudad Valles
Rancho Santa Fe,Ciudad Valles
San Isidro,Ciudad Valles
San Isidro (Los Estrada),Ciudad Valles
San Mateo,Ciudad Valles
Zocohuite,Ciudad Valles
El Disco,Ciudad Valles
El Ojite,Ciudad Valles
El Pantano,Ciudad Valles
La Extremadura,Ciudad Valles
La Pitaya (La Pitahaya),Ciudad Valles
San Antonio,Ciudad Valles
Buenavista,Ciudad Valles
Cambeses,Ciudad Valles
Cuatro Caminos,Ciudad Valles
El Palmar (El Paso),Ciudad Valles
La Copa,Ciudad Valles
Rancho Cuatro,Ciudad Valles
Tampaya,Ciudad Valles
Tantute,Ciudad Valles
La Lagunita,Ciudad Valles
El Algüey,Ciudad Valles
El Azulejo,Ciudad Valles
La Crucita (Barrio de Guadalupe),Ciudad Valles
La Escondida,Ciudad Valles
La Esperanza (La Loma),Ciudad Valles
La Urbina,Ciudad Valles
Prodigio,Ciudad Valles
La Subida,Ciudad Valles
Buenos Aires,Ciudad Valles
Ejido el Chuchupe,Ciudad Valles
El Aquichal,Ciudad Valles
El Carrizal,Ciudad Valles
El Tamarindo,Ciudad Valles
Las Chochas,Ciudad Valles
Tierras Blancas,Ciudad Valles
La Pila,Ciudad Valles
El Atascadero,Ciudad Valles
El Bárbol,Ciudad Valles
El Chical Dos,Ciudad Valles
El Chical Uno,Ciudad Valles
El Jacubal,Ciudad Valles
El Lindero,Ciudad Valles
El Mocoque,Ciudad Valles
La Antigua,Ciudad Valles
Rancho Nuevo,Ciudad Valles
La Lima,Ciudad Valles
La Palma,Ciudad Valles
Rancho Nuevo,Ciudad Valles
Ojo de Agua,Ciudad Valles
El Maguey,Ciudad Valles
San Antonio Huichimal,Ciudad Valles
Ejido la Toconala Uno (La Virgen),Ciudad Valles
El Escape,Ciudad Valles
Jabalí,Ciudad Valles
La Camelia,Ciudad Valles
Loma de las Conchas,Ciudad Valles
San Felipe,Ciudad Valles
Tamunal,Ciudad Valles
Villa María,Ciudad Valles
Álvaro Obregón (El Pujal),Ciudad Valles
El Cuiche,Ciudad Valles
Villa Fierro,Ciudad Valles
El Detalle,Ciudad Valles
La Concepción (La Concha),Ciudad Valles
El Gritadero,Ciudad Valles
Catán,Ciudad Valles
Cien Fuegos,Ciudad Valles
Ojo de Agua,Ciudad Valles
Rancho Viejo,Ciudad Valles
Salcedo,Ciudad Valles
Adolfo López Mateos,Ciudad Valles
Ejido el Lobo,Ciudad Valles
Fracción el Turu,Ciudad Valles
Las Moritas,Ciudad Valles
Loma del Desengaño (Ejido el Desengaño Dos),Ciudad Valles
Los Humos,Ciudad Valles
El Desengaño,Ciudad Valles
Crucero de Tantóbal,Ciudad Valles
Ejido la Marina (Ejido Colectivo),Ciudad Valles
El Jopoy,Ciudad Valles
El Refugio,Ciudad Valles
Entrada a Tamalte,Ciudad Valles
La Marina,Ciudad Valles
Nuevo Tambolón,Ciudad Valles
Sacrificio (Nuevo Santiaguillo),Ciudad Valles
Antiguo Tambolón,Ciudad Valles
Tantóbal,Ciudad Valles
Santiaguillo,Ciudad Valles
Ejido Emiliano Zapata,Ciudad Valles
El Capulín (Río Escondido),Ciudad Valles
El Chico,Ciudad Valles
Loma del Mirador,Ciudad Valles
San Juan,Ciudad Valles
San Rafael,Ciudad Valles
Tantizohuiche,Ciudad Valles
Campo del Capulín,Ciudad Valles
Chipico,Ciudad Valles
El Barranco (El Rosario),Ciudad Valles
El Cinco,Ciudad Valles
La Lomita,Ciudad Valles
Loma del Barranco,Ciudad Valles
Rancho San Carlos,Ciudad Valles
San Miguel,Ciudad Valles
El Sidral (San Miguel el Sidral),Ciudad Valles
El Nacimiento,Ciudad Valles
El Siete,Ciudad Valles
Jacinto López,Ciudad Valles
La Bolsa,Ciudad Valles
La Calera,Ciudad Valles
La Raya,Ciudad Valles
Álvaro Obregón,Ciudad Valles
San Felipe,Ciudad Valles
Colonia Eligio Quintanilla,Ciudad Valles
El Cañón del Taninul (El Abra),Ciudad Valles
Fraccionamiento las Granjas,Ciudad Valles
León García,Ciudad Valles
Montecillos,Ciudad Valles
El Abra (San Felipe),Ciudad Valles
Montecillos (La Curva),Ciudad Valles
Granjas Uno,Ciudad Valles
La Aguaje,Ciudad Valles
Tampaspaque (Cruz de Aquiche),Ciudad Valles
Los Sabinos Número Dos,Ciudad Valles
El Chubasco,Ciudad Valles
Lino Lárraga (La Unión),Ciudad Valles
Gustavo Garmendia (La Unión),Ciudad Valles
El Rodeo,Ciudad Valles
La Aurora,Ciudad Valles
Troncones y la Corriente,Ciudad Valles
Colonia Juan González,Ciudad Valles
Colonia Luis Donaldo Colosio,Ciudad Valles
Colonia Mano Amiga,Ciudad Valles
Los Jovitos,Ciudad Valles
Tanzacalte,Ciudad Valles
La Lagunita,Ciudad Valles
La Lagunita Dos,Ciudad Valles
La Milpa,Ciudad Valles
La Perla,Ciudad Valles
Rancho Casas Viejas,Ciudad Valles
Tanlecue (El Olivo),Ciudad Valles
La Estribera,Ciudad Valles
Colonia Ignacio Zaragoza,Ciudad Valles
El Otate,Ciudad Valles
Granja Isabel,Ciudad Valles
San Ricardito,Ciudad Valles
Laguna del Mante,Ciudad Valles
Las Yeguas,Ciudad Valles
Sabino del Obispo,Ciudad Valles
Buena Vista,Ciudad Valles
Antigua Reforma,Ebano
Reforma el Alto,Ebano
Plan de Iguala,Ebano
Vichinchijol Nuevo,Ebano
Aurelio Manrique,Ebano
Ponciano Arriaga,Ebano
Emiliano Zapata,Ebano
Estación Auza,Ebano
Pujal Coy,Ebano
Reforma Agraria,Ebano
Ejido Ampliación Velazco,Ebano
Estación Velazco,Ebano
Ajinche Marland,Ebano
Granero del Tamesí,Ebano
Julián Carrillo,Ebano
El Naranjo Centro,El Naranjo
Habitacional,El Naranjo
La Esperanza Norte,El Naranjo
La Esperanza Sur,El Naranjo
La Presa,El Naranjo
INFONAVIT Azucareros,El Naranjo
El Pedregal,El Naranjo
Obrera,El Naranjo
La Cruz,El Naranjo
Arboleda,El Naranjo
La Bahía,El Naranjo
La Encantada,El Naranjo
Las Margaritas,El Naranjo
Carlos Jonguitud Barrios,El Naranjo
El Naranjito,El Naranjo
La Huerta,El Naranjo
Las Brisas,El Naranjo
San Francisco,El Naranjo
San José,El Naranjo
El Sabinito Plan del Naranjo,El Naranjo
Los Álamos de Abajo,El Naranjo
Ojo de Agua de Tierra Nueva,El Naranjo
El Limonal,El Naranjo
Cruz Montoya Hernández,El Naranjo
El Abrevadero,El Naranjo
El Garabato,El Naranjo
La Mequihuana,El Naranjo
La Mesa de Guadalupe,El Naranjo
La Sierrita,El Naranjo
La Toma,El Naranjo
Los Álamos de Arriba,El Naranjo
Colonia el Meco,El Naranjo
Colonia Salto del Agua,El Naranjo
Camilo Arriaga [Central Hidroeléctrica],El Naranjo
Campamento SCT,El Naranjo
El Bule,El Naranjo
El Colorado,El Naranjo
El Guamúchil,El Naranjo
El Mirador,El Naranjo
El Pedregal,El Naranjo
El Puerto,El Naranjo
Las Granjas,El Naranjo
La Cabaña,El Naranjo
La Ceiba,El Naranjo
La Colmena,El Naranjo
La Joya,El Naranjo
La Laguna (Oscar Raúl Cano),El Naranjo
La Nigua,El Naranjo
La Rodada,El Naranjo
La Soledad,El Naranjo
Lázaro Cárdenas,El Naranjo
Los Corrales,El Naranjo
Ojo de Agua de Ramón,El Naranjo
Potrero el Sabinal,El Naranjo
Rancho el Colorado,El Naranjo
Rancho la Cascada,El Naranjo
Rancho la Montaña (La Gonzalera),El Naranjo
Rancho la Paloma,El Naranjo
Rancho los Cuates,El Naranjo
Rancho San Francisco,El Naranjo
Río Escondido (La Caja),El Naranjo
San Nicolás,El Naranjo
Santa Laura,El Naranjo
La Concepción,El Naranjo
Chupaderos,El Naranjo
El Sabinito,El Naranjo
El Platanito,El Naranjo
Maguey de Oriente,El Naranjo
El Aguacate,El Naranjo
El Chote,El Naranjo
El Naranjito,El Naranjo
El Tanque,El Naranjo
La Loma (Ejido los Álamos),El Naranjo
La Yerbabuena del Norte,El Naranjo
La Yerbabuena del Oriente,El Naranjo
Las Abritas,El Naranjo
Los Álamos,El Naranjo
Rincón de Álamos,El Naranjo
Minas Viejas,El Naranjo
Kilómetro Cuarenta y Dos,El Naranjo
La Mutua,El Naranjo
Casa Blanca (El Banco),El Naranjo
Ejido Benito Juárez su Anexo el Potosino,El Naranjo
Ejido la Mutua,El Naranjo
El Edén (Villa Rosita),El Naranjo
El Estribo,El Naranjo
El Ojital,El Naranjo
El Rincón de las Bombas (Nicolás Ortiz),El Naranjo
Gregorio de la Rosa,El Naranjo
La Balsa,El Naranjo
La Ceiba,El Naranjo
La Germinal,El Naranjo
La Piedra,El Naranjo
La Victoria,El Naranjo
Loma Alta,El Naranjo
Rancho el Cadillo,El Naranjo
Rancho el Carmen,El Naranjo
Rancho el Rosario,El Naranjo
Rancho la Cuesta,El Naranjo
Santa Rita,El Naranjo
Villa Rosita,El Naranjo
Maitinez,El Naranjo
Los Charcos de Oriente,El Naranjo
Cuicillos,El Naranjo
El Limoncito,El Naranjo
El Molino,El Naranjo
El Paso del Águila (Vicente Escobedo),El Naranjo
El Refugio,El Naranjo
La Isla,El Naranjo
La Palma,El Naranjo
La Presita,El Naranjo
La Tinaja,El Naranjo
Los Cedros,El Naranjo
Paso del Águila (Ismael Rojas),El Naranjo
Peña Amarilla,El Naranjo
Rancho Buenavista,El Naranjo
Rancho Maitinez,El Naranjo
Rancho Nuevo (Florencio Ortega),El Naranjo
Rancho Nuevo Paso del Águila,El Naranjo
San Juan del Viejo,El Naranjo
San Martín,El Naranjo
San Rafael (Ojo de Agua de la Vieja),El Naranjo
Chihuahuita,El Naranjo
Contadero,El Naranjo
El Ojo Frío,El Naranjo
Francisco Aranda,El Naranjo
Olla Verde,El Naranjo
Rancho la Esperanza,El Naranjo
Los Cedros,El Naranjo
Santa Cruz,El Naranjo
Ciudad del Maíz Centro,Ciudad del Maíz
La Deportiva,Ciudad del Maíz
Santo Niño,Ciudad del Maíz
Las Lomas,Ciudad del Maíz
Arboledas,Ciudad del Maíz
Las Margaritas,Ciudad del Maíz
Jacarandas,Ciudad del Maíz
Valle del Maíz,Ciudad del Maíz
El Senegal,Ciudad del Maíz
Callejón,Ciudad del Maíz
La Pista,Ciudad del Maíz
Buenos Aires,Ciudad del Maíz
Las Alazanas,Ciudad del Maíz
El Orégano,Ciudad del Maíz
La Alameda,Ciudad del Maíz
Del Pueblo,Ciudad del Maíz
San José,Ciudad del Maíz
Derramaderos,Ciudad del Maíz
Pedregal,Ciudad del Maíz
Villa de San José,Ciudad del Maíz
Villa Antiguo,Ciudad del Maíz
Colonia Álvaro Obregón,Ciudad del Maíz
El Puerto Santa Gertrudis,Ciudad del Maíz
Ejido San José,Ciudad del Maíz
Las Mesas de Don Luis,Ciudad del Maíz
Colonia Lagunillas,Ciudad del Maíz
Los Charcos del Poniente,Ciudad del Maíz
Catalina Navarro Hernández,Ciudad del Maíz
Ejido San José (Sotero Alvizu),Ciudad del Maíz
El Fuereño,Ciudad del Maíz
Guadalupe García,Ciudad del Maíz
José Ángel Anguiano,Ciudad del Maíz
La Cruz Verde,Ciudad del Maíz
María Esther Olvera,Ciudad del Maíz
Rancho Dos Hermanas (La Cañada),Ciudad del Maíz
Rancho las Azucenas,Ciudad del Maíz
El Porvenir,Ciudad del Maíz
Aquiles Serdán,Ciudad del Maíz
Colonia Carlos Diez Gutiérrez (La Italiana),Ciudad del Maíz
Los Ávalos,Ciudad del Maíz
Agua Zarca,Ciudad del Maíz
Barbarita,Ciudad del Maíz
Buenavista,Ciudad del Maíz
Celestría,Ciudad del Maíz
Jorge Ferretiz,Ciudad del Maíz
Los Pilares (El Encinal),Ciudad del Maíz
Milpillas,Ciudad del Maíz
Puerta Ojo de León,Ciudad del Maíz
Aquiles Serdán (Celerino Ortega),Ciudad del Maíz
Estación Microondas,Ciudad del Maíz
Rancho el Setenta y Tres (Miguel Jiménez),Ciudad del Maíz
Rancho Kansan,Ciudad del Maíz
Rancho Santa Margarita,Ciudad del Maíz
Tanque de Jiménez,Ciudad del Maíz
Papagayos (Ejido Papagayos),Ciudad del Maíz
El Tigrito,Ciudad del Maíz
El Toro,Ciudad del Maíz
El Venadito,Ciudad del Maíz
La Chuparrosa,Ciudad del Maíz
Ojo de Agua,Ciudad del Maíz
Nuevo Centro de Población Ganadero Papagayos,Ciudad del Maíz
Rancho Nuevo,Ciudad del Maíz
Carrizal Grande,Ciudad del Maíz
La Victoria,Ciudad del Maíz
Las Gavias,Ciudad del Maíz
Llanitos,Ciudad del Maíz
Miguel Olvera Ramírez,Ciudad del Maíz
Potreritos de los Llanos,Ciudad del Maíz
Rancho de la Cruz,Ciudad del Maíz
San Gabriel,Ciudad del Maíz
Estación las Tablas,Ciudad del Maíz
El Duro,Ciudad del Maíz
El Divisadero (La Garra),Ciudad del Maíz
El Jefe,Ciudad del Maíz
El Pozo,Ciudad del Maíz
La Loma de Dios,Ciudad del Maíz
La Majada,Ciudad del Maíz
Pedro Antonio de los Santos (Los Huizaches),Ciudad del Maíz
Santa Teresa,Ciudad del Maíz
Sección Setenta y Nueve los Anteojos,Ciudad del Maíz
Colonia la Libertad,Ciudad del Maíz
Colonia la Morita,Ciudad del Maíz
Tanque de los Ángeles (El Venadito),Ciudad del Maíz
La Noria,Ciudad del Maíz
Rancho Escondido (Lomas de Chora),Ciudad del Maíz
Santa Rita,Ciudad del Maíz
Tomás Ceballos,Ciudad del Maíz
La Calzada de San Rafael,Ciudad del Maíz
El Oasis,Ciudad del Maíz
El Tomate,Ciudad del Maíz
El Vergel,Ciudad del Maíz
Fermín Ortiz,Ciudad del Maíz
Humberto Martínez Castillo,Ciudad del Maíz
La Cartuja,Ciudad del Maíz
La Cuesta (Ejido Ganadero Papagayos),Ciudad del Maíz
Rancho la Palma,Ciudad del Maíz
Rancho San Tiburcio,Ciudad del Maíz
San Tiburcio,Ciudad del Maíz
Santa Teresa,Ciudad del Maíz
Palomas,Ciudad del Maíz
Nuevo San Rafael,Ciudad del Maíz
Cantarranas (El Charco Blanco),Ciudad del Maíz
La Bonita,Ciudad del Maíz
La Encarnación,Ciudad del Maíz
San Ignacio,Ciudad del Maíz
San Luis (Las Pinturas),Ciudad del Maíz
San Mateo,Ciudad del Maíz
San Rafael Matriz,Ciudad del Maíz
Santa María,Ciudad del Maíz
El Custodio,Ciudad del Maíz
Sartenejo,Ciudad del Maíz
Nuevo Centro de Población Ejidal Plan de San Luis,Ciudad del Maíz
San Antonio del Toro (Cabeza del Toro),Ciudad del Maíz
La Pendencia,Ciudad del Maíz
Colonia Agrícola Magdaleno Cedillo,Ciudad del Maíz
San Antonio,Ciudad del Maíz
Zamachihue,Ciudad del Maíz
San Juan del Llano,Ciudad del Maíz
La Guacamaya (La Lagunita),Ciudad del Maíz
Piedra Parada,Ciudad del Maíz
Puerto de Lobos,Ciudad del Maíz
Rancho la Gloria,Ciudad del Maíz
Rancho San José,Ciudad del Maíz
Ángel García,Ciudad del Maíz
Campamento SEMARNAT,Ciudad del Maíz
El Nogal,Ciudad del Maíz
El Puertecito,Ciudad del Maíz
Francia Chica,Ciudad del Maíz
Francia Grande,Ciudad del Maíz
La Barranca,Ciudad del Maíz
Las Mesas,Ciudad del Maíz
Rancho los Ávalos,Ciudad del Maíz
Rancho San Miguel,Ciudad del Maíz
Memela,Ciudad del Maíz
San Juan del Meco,Ciudad del Maíz
El Olivo,Ciudad del Maíz
Las Moras,Ciudad del Maíz
Colonia Agrícola Ollitas de las Vacas,Ciudad del Maíz
Buenavista y Olivo,Ciudad del Maíz
El Capulín,Ciudad del Maíz
La Manzana (Ampliación Buenavista y Olivo),Ciudad del Maíz
Las Tortugas (Las Moras),Ciudad del Maíz
Puerto del Zamandoque,Ciudad del Maíz
Montebello,Ciudad del Maíz
Laguna Seca,Ciudad del Maíz
Rincón Seco,Ciudad del Maíz
Agua Nueva del Norte,Ciudad del Maíz
San Rafael Carretera,Ciudad del Maíz
La Morenita,Ciudad del Maíz
San Martín,Ciudad del Maíz
Puerto de San Juan de Dios,Ciudad del Maíz
El Tepeyac,Ciudad del Maíz
Alaquines,Alaquines
De Guadalupe,Alaquines
San Antonio,Alaquines
De San José,Alaquines
De la Luz,Alaquines
El Álamo,Alaquines
El Salitrillo (Juan Olvera),Alaquines
Río Abajo,Alaquines
San José de Palmas,Alaquines
Agua de San Juan (Joya Alegre),Alaquines
Cerro Grande,Alaquines
El Callejón de la Luz,Alaquines
La Casa de la Piedra,Alaquines
La Puente,Alaquines
Los Palos Prietos,Alaquines
Nogales,Alaquines
Ojo de Agua,Alaquines
Puerto del Tigre,Alaquines
San Antonio de las Tortugas,Alaquines
El Nacimiento de la Peña,Alaquines
El Tejocote,Alaquines
La Máscara,Alaquines
Las Peñitas,Alaquines
Las Puertas Cuatas,Alaquines
Nueva Reforma,Alaquines
Paso de Mendiolas,Alaquines
Rincón Grande,Alaquines
El Sabino,Alaquines
La Cañada,Alaquines
Maldonado,Alaquines
Rancho Nuevo,Alaquines
